종목_티커,TV_원본파일,r_단일최대PnL_참고_pct,r_권장_pct,r_상위K평균_참고_pct,거래시작일,거래종료일,거래일수,총_거래수,이익_거래수,손실_거래수,누적수익_USD,거래평균_USD,MDD_USD
AAPL,"BATS_AAPL, 1000T_ba0bb.csv",0.21,0.21,0.205,,,,8718,8718,0,,,
ETHA,"BATS_ETHA, 1000T_86714.csv",0.83,0.827,0.829,,,,808,808,0,,,
NVDA,"BATS_NVDA, 1000T_e2d5a.csv",0.15,0.161,0.155,,,,8987,8987,0,,,
TSLA,"BATS_TSLA, 1000T_a6cb6.csv",0.25,0.25,0.245,,,,9059,9059,0,,,
BNB-USD,"BINANCE_BNBUSDT, 1000T_afef4.csv",0.15,0.15,0.155,,,,9254,9254,0,,,
SOL-USD,"BINANCE_SOLUSDT, 1000T_cd9f7.csv",0.23,0.252,0.245,,,,9897,9897,0,,,
XRP-USD,"BINANCE_XRPUSDT, 1000T_01db3.csv",0.22,0.253,0.245,,,,10233,10233,0,,,
RTY=F,"CAPITALCOM_RTY, 1000T_ab53e.csv",0.22,0.22,0.215,,,,10940,10940,0,,,
US100_CF,"CAPITALCOM_US100, 1000T_9544a.csv",0.08,0.694,0.592,,,,309,309,0,,,
ZN=F,"CBOT_DL_ZN1!, 1000T_521c6.csv",0.21,0.292,0.279,,,,28,28,0,,,
YM=F,"CBOT_MINI_DL_YM1!, 1000T_15e18.csv",0.11,0.145,0.138,,,,2185,2185,0,,,
6E=F,"CME_DL_6E1!, 1000T_4722d.csv",0.09,0.301,0.298,,,,235,235,0,,,
6J=F,"CME_DL_6J1!, 1000T_a8fd3.csv",0.14,0.535,0.455,,,,116,116,0,,,
ES=F,"CME_MINI_DL_ES1!, 1000T_b9d51.csv",0.08,0.546,0.499,,,,70,70,0,,,
NQ=F,"CME_MINI_DL_NQ1!, 1000T_d7e18.csv",0.08,0.35,0.301,,,,1393,1393,0,,,
BTC-USD,"COINBASE_BTCUSD, 1000T_7dd14.csv",0.11,0.209,0.125,,,,6185,6185,0,,,
ETH-USD,"COINBASE_ETHUSD, 1000T_60836.csv",0.18,0.191,0.185,,,,10999,10999,0,,,
GC=F,"COMEX_DL_GC1!, 1000T_944d7.csv",0.28,0.278,0.285,,,,2200,2200,0,,,
SI=F,"COMEX_DL_SI1!, 1000T_d4ebe.csv",1.12,1.135,1.133,,,,353,353,0,,,
K2=F,"KRX_DLY_K2I1!, 1000T_f41ac.csv",0.2,0.222,0.216,,,,2400,2400,0,,,
CL=F,"NYMEX_DL_CL1!, 1000T_bcbcb.csv",0.51,0.465,0.473,,,,1854,1854,0,,,
EURUSD=X,"OANDA_EURUSD, 1000T_15af5.csv",0.3,0.518,0.484,,,,26,26,0,,,
